timestamp,cpu_percent,mem_percent,download_speed,upload_speed,bandwidth_total,latency,link_status,health_status,bytes_sent,bytes_recv,traffic_volume
2024-09-07 21:47:33,12.0,89.6,7.51,13.2,20.71,22.68,up,ok,313636417,360802907,674439324
2024-09-07 21:47:35,20.3,87.9,7.51,13.2,20.71,22.68,up,ok,313730083,360825295,674555378
2024-09-07 21:47:36,15.8,88.1,15.32,7.3,22.62,21.98,up,ok,313730083,360825533,674555616
2024-09-07 21:47:38,31.4,87.5,7.51,13.2,20.71,22.68,up,ok,313737289,360834310,674571599
2024-09-07 21:47:38,19.4,87.8,15.32,7.3,22.62,21.98,up,ok,313737397,360835080,674572477
2024-09-07 21:47:40,12.9,87.3,15.32,7.3,22.62,21.98,up,ok,313746351,360851485,674597836
2024-09-07 21:47:42,25.6,87.4,15.32,7.3,22.62,21.98,up,ok,313881702,368083028,681964730
2024-09-07 21:47:44,10.7,87.0,15.32,7.3,22.62,21.98,up,ok,313987565,373355774,687343339
2024-09-07 21:47:46,7.8,87.3,15.32,7.3,22.62,21.98,up,ok,314106333,378261297,692367630
2024-09-07 21:47:48,24.9,88.6,15.32,7.3,22.62,21.98,up,ok,314220971,383819782,698040753
2024-09-07 21:48:03,67.5,92.1,19.22,21.72,40.94,19.85,up,ok,349105572,410772929,759878501
2024-09-07 21:48:05,60.9,93.1,19.22,21.72,40.94,19.85,up,ok,349220739,415910352,765131091
2024-09-07 21:48:07,55.3,93.3,19.22,21.72,40.94,19.85,up,ok,349322878,421057418,770380296
2024-09-07 21:48:09,18.1,94.7,19.22,21.72,40.94,19.85,up,ok,351031549,424644795,775676344
2024-09-07 21:48:11,33.8,93.5,19.22,21.72,40.94,19.85,up,ok,360029593,424810096,784839689
2024-09-07 21:48:13,24.5,93.4,19.22,21.72,40.94,19.85,up,ok,366778106,424971842,791749948
2024-09-07 21:48:15,21.0,93.5,19.22,21.72,40.94,19.85,up,ok,372517556,425070035,797587591
2024-09-07 21:48:17,17.5,93.9,19.22,21.72,40.94,19.85,up,ok,378438393,427146820,805585213
2024-09-07 21:48:19,20.9,93.8,19.22,21.72,40.94,19.85,up,ok,381576544,427204700,808781244
2024-09-07 21:48:20,28.2,91.6,20.96,20.56,41.52,20.11,up,ok,381580046,427209771,808789817
2024-09-07 21:48:21,23.8,91.7,19.22,21.72,40.94,19.85,up,ok,381580046,427209771,808789817
2024-09-07 21:48:22,12.0,91.9,20.96,20.56,41.52,20.11,up,ok,381581955,427261816,808843771
2024-09-07 21:48:23,33.9,91.9,19.22,21.72,40.94,19.85,up,ok,381583979,427276154,808860133
2024-09-07 21:48:24,50.4,92.6,20.96,20.56,41.52,20.11,up,ok,381599895,427283809,808883704
2024-09-07 21:48:25,27.5,92.6,19.22,21.72,40.94,19.85,up,ok,381609805,427291775,808901580
2024-09-07 21:48:26,54.4,93.0,20.96,20.56,41.52,20.11,up,ok,381628815,427308401,808937216
2024-09-07 21:48:27,29.0,93.1,19.22,21.72,40.94,19.85,up,ok,381634482,427311983,808946465
2024-09-07 21:48:28,93.4,94.3,20.96,20.56,41.52,20.11,up,ok,381767411,427628184,809395595
2024-09-07 21:48:54,26.6,91.9,10.56,14.6,25.16,25.51,up,ok,423936877,466098455,890035332
2024-09-07 21:48:56,10.9,91.7,10.56,14.6,25.16,25.51,up,ok,429477633,466188413,895666046
2024-09-07 21:48:58,33.7,91.4,10.56,14.6,25.16,25.51,up,ok,429490922,467876391,897367313
2024-09-07 21:49:00,8.5,89.1,6.96,10.24,17.2,22.33,up,ok,429501461,467896218,897397679
2024-09-07 21:49:00,24.9,88.8,10.56,14.6,25.16,25.51,up,ok,429514422,467976270,897490692
2024-09-07 21:49:02,19.5,89.1,6.96,10.24,17.2,22.33,up,ok,429559320,468170418,897729738
2024-09-07 21:49:02,16.3,88.9,10.56,14.6,25.16,25.51,up,ok,429565827,468245796,897811623
2024-09-07 21:49:04,24.0,89.1,6.96,10.24,17.2,22.33,up,ok,429576518,468419514,897996032
2024-09-07 21:49:05,25.4,89.1,10.56,14.6,25.16,25.51,up,ok,429584727,468568721,898153448
2024-09-07 21:49:06,16.5,88.6,6.96,10.24,17.2,22.33,up,ok,429601870,468934142,898536012
2024-09-07 21:49:07,9.3,88.6,10.56,14.6,25.16,25.51,up,ok,429601870,468934142,898536012
2024-09-07 21:49:08,12.8,88.5,6.96,10.24,17.2,22.33,up,ok,429601870,468934269,898536139
2024-09-07 21:49:09,9.8,88.5,10.56,14.6,25.16,25.51,up,ok,429601932,468934567,898536499
2024-09-07 21:49:10,13.5,88.5,6.96,10.24,17.2,22.33,up,ok,429601932,468934567,898536499
2024-09-07 21:49:11,29.6,87.9,10.56,14.6,25.16,25.51,up,ok,429607281,468936071,898543352
2024-09-07 21:49:12,13.7,87.5,6.96,10.24,17.2,22.33,up,ok,429607389,468936590,898543979
2024-09-07 21:49:13,12.2,87.3,10.56,14.6,25.16,25.51,up,ok,429607389,468936828,898544217
2024-09-07 21:49:14,10.2,87.4,6.96,10.24,17.2,22.33,up,ok,429607389,468936905,898544294
2024-09-07 21:49:15,18.2,87.4,10.56,14.6,25.16,25.51,up,ok,429607443,468937468,898544911
2024-09-07 21:49:16,6.2,87.4,6.96,10.24,17.2,22.33,up,ok,429607513,468937518,898545031
2024-09-07 21:49:17,5.7,87.4,10.56,14.6,25.16,25.51,up,ok,429607567,468937914,898545481
2024-09-07 21:49:18,5.5,87.6,6.96,10.24,17.2,22.33,up,ok,429627525,468976488,898604013
2024-09-07 21:49:19,6.2,87.6,10.56,14.6,25.16,25.51,up,ok,429627525,468976488,898604013
2024-09-07 21:49:20,3.9,87.6,6.96,10.24,17.2,22.33,up,ok,429640026,468998891,898638917
2024-09-07 21:49:21,7.8,87.5,10.56,14.6,25.16,25.51,up,ok,429654123,470861022,900515145
2024-09-07 21:49:22,4.3,87.7,6.96,10.24,17.2,22.33,up,ok,429654205,470861320,900515525
2024-09-07 21:49:23,6.6,87.7,10.56,14.6,25.16,25.51,up,ok,429654205,470861397,900515602
2024-09-07 21:49:24,4.3,87.8,6.96,10.24,17.2,22.33,up,ok,429654205,470861635,900515840
2024-09-07 21:49:25,1.6,87.8,10.56,14.6,25.16,25.51,up,ok,429654205,470861635,900515840
2024-09-07 21:49:26,13.6,87.8,6.96,10.24,17.2,22.33,up,ok,429659137,470863075,900522212
2024-09-07 21:49:27,4.7,87.8,10.56,14.6,25.16,25.51,up,ok,429659276,470863135,900522411
2024-09-07 21:49:28,4.3,87.8,6.96,10.24,17.2,22.33,up,ok,429659330,470863487,900522817
2024-09-07 21:49:29,12.5,87.8,10.56,14.6,25.16,25.51,up,ok,429663435,470871316,900534751
2024-09-07 21:49:30,9.8,87.7,6.96,10.24,17.2,22.33,up,ok,429671387,470886973,900558360
2024-09-07 21:49:31,16.0,87.7,10.56,14.6,25.16,25.51,up,ok,429671457,470887023,900558480
2024-09-07 21:49:32,9.4,87.7,6.96,10.24,17.2,22.33,up,ok,429673211,470887938,900561149
2024-09-07 21:49:33,8.6,87.6,10.56,14.6,25.16,25.51,up,ok,429674187,470888392,900562579
2024-09-07 21:49:34,12.5,87.6,6.96,10.24,17.2,22.33,up,ok,429674242,470888696,900562938
2024-09-07 21:49:35,9.4,87.5,10.56,14.6,25.16,25.51,up,ok,429674242,470888773,900563015
2024-09-07 21:49:36,8.2,87.5,6.96,10.24,17.2,22.33,up,ok,429674242,470889011,900563253
2024-09-07 21:49:37,5.4,87.4,10.56,14.6,25.16,25.51,up,ok,429674242,470889061,900563303
2024-09-07 21:49:38,23.6,87.3,6.96,10.24,17.2,22.33,up,ok,429675584,470895481,900571065
2024-09-07 21:50:02,11.0,83.6,8.49,11.71,20.2,20.65,up,ok,469378850,502535608,971914458
2024-09-07 21:50:04,13.3,81.6,8.49,11.71,20.2,20.65,up,ok,469380273,502537471,971917744
2024-09-07 21:50:05,10.9,81.5,13.98,9.26,23.24,19.85,up,ok,469380273,502537471,971917744
2024-09-07 21:50:06,16.1,81.5,8.49,11.71,20.2,20.65,up,ok,469392035,502938947,972330982
2024-09-07 21:50:07,17.1,81.4,13.98,9.26,23.24,19.85,up,ok,469403333,503531975,972935308
